<<<<<<< HEAD
site,site_id,date,visit,BANA,HOWR,LAGU,MAFR,SPTH,ZEND,GRAK,GRHE,TRMO,ANCH,CAGR,LBHE,SNPI,YCNH,CGDO,COGA,BBWD,BWVI,BWHA,MACU,BFGR,GBHE,GFLY,CAMA,BEKI,BARS,LANB,YBEL,YBSE,SPSA,LATA,SBAN,EADO,SHCO
"5","Conference","CN_T2_P1",2020-04-22,0,4,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Conference","CN_T2_P3",2020-02-28,1,4,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Conference","CN_T2_P3",2020-04-22,0,6,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Conference","CN_T2_P3",2020-05-20,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Levera","LV_T1_P13",2020-04-30,1,8.2,0,0,0,4,0,2,0,0,0,0,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Levera","LV_T1_P13",2020-05-31,0,8.75,0,2,0,9.5,0,1.7,0,0,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Levera","LV_T23_P13",2020-04-30,0,6.6,0,0,0,4,0,0,0,1.5,0,3,1,2.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Levera","LV_T23_P13",2020-05-31,1.5,0,0,2,0,8,0,1.7,0,0,2,0,0,7.5,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Levera","LV_T456_P13",2020-04-30,2,0,0,0,0,1,0,1,3,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Levera","LV_T456_P13",2020-05-31,1,6,4,0,0,0,0,2,2,1,0,0,0,3,2,0,0,1,7,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"15","Levera","LV_T6_P3",2020-04-30,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Levera","LV_T6_P3",2020-05-31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"17","Levera","LV_T7_P1",2020-04-30,0,7,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"18","Levera","LV_T7_P1",2020-05-31,0,6,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"19","Levera","LV_T7_P3",2020-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"20","Levera","LV_T7_P3",2020-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0
"21","Mt. Hartman","MH_T1_P1",2020-02-15,1,1.5,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"22","Mt. Hartman","MH_T12_P3",2020-02-15,0,1,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"23","Mt. Hartman","MH_T12_P3",2020-05-04,3,6,4,0,0,0,1,2,1,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,4,0
"24","Westerhall","WH_T1",2020-05-04,0,6,3,0,1,14,0,5,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,3
"25","Westerhall","WH_T2",2020-05-04,0,5,2,0,0,4,0,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"26","Westerhall","WH_T3",2020-03-31,1,3,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Westerhall","WH_T3",2020-05-04,0,4,3,1,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"28","Westerhall","WH_T4",2020-03-31,4,4,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"29","Westerhall","WH_T4",2020-05-04,0,4,0,0,2,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
>>>>>>> 25430831db29feb2de6fff383373ac908a3c6d30
